識別番号,分野,頻出度,言葉,読み,文章,漢字1,読み1,漢字2,読み2
0,a音読み,A,騒擾,そうじょう,過激派が騒擾を起こした。,騒擾,そうじょう,X,X
1,a音読み,A,嚇怒,かくど,嚇怒した顔で睨みつける。,嚇怒,かくど,X,X
2,a音読み,A,汀渚,ていしょ,汀渚に野鳥が群れている。,汀渚,ていしょ,X,X
3,a音読み,A,這般,しゃはん,這般の状勢により撤退を決定した。,這般,しゃはん,X,X
4,a音読み,A,儲君,ちょくん,儲君として厳格な教育を受ける。,儲君,ちょくん,X,X
5,a音読み,A,誰何,すいか,事件現場の近くで景観に誰何された。,誰何,すいか,X,X
6,a音読み,A,脇息,きょうそく,座布団にすわり脇息で体を支える。,脇息,きょうそく,X,X
7,a音読み,A,弘誓,ぐぜい,菩薩の弘誓は海のように広く深い。,弘誓,ぐぜい,X,X
8,a音読み,A,後胤,こういん,天皇の後胤として大切にされる。,後胤,こういん,X,X
9,a音読み,A,快哉,かいさい,敵陣突破に快哉を叫ぶ。,快哉,かいさい,X,X
10,a音読み,A,鶯遷,おうせん,鶯遷を祝い、宴会を催す。,鶯遷,おうせん,X,X
11,a音読み,A,壺中,こちゅう,壺中の天に遊ぶ。,壺中,こちゅう,X,X
12,a音読み,A,一揖,いちゆう,一揖してその場を去った。,一揖,いちゆう,X,X
13,a音読み,A,危殆,きたい,両国の関係は危殆に瀕している。,危殆,きたい,X,X
14,a音読み,A,紛擾,ふんじょう,些細なことかた紛擾した。,紛擾,ふんじょう,X,X
15,a音読み,A,釜中,ふちゅう,釜中の魚、絶体絶命だ。,釜中,ふちゅう,X,X
16,a音読み,A,上巳,じょうし,上巳は五節句の一つだ。,上巳,じょうし,X,X
17,a音読み,A,井蛙,せいあ,井蛙大海を知らず。,井蛙,せいあ,X,X
18,a音読み,A,穆,ぼく,穆として清風の如き人だ。,穆,ぼく,X,X
19,a音読み,A,杵臼,しょきゅう,身分を越えた杵臼の交わりを持つ。,杵臼,しょきゅう,X,X
20,a音読み,A,灘響,だんきょう,旅の宿で灘響を聞く。,灘響,だんきょう,X,X
21,a音読み,A,貼付,ちょうふ,切手を貼付する。,貼付,ちょうふ,X,X
22,a音読み,A,古諺,こげん,世界の古諺を比較する。,古諺,こげん,X,X
23,a音読み,A,豪宕,ごうとう,豪宕な性格で一目おかれている。,豪宕,ごうとう,X,X
24,a音読み,A,推戴,すいたい,彼を総裁として推戴する。,推戴,すいたい,X,X
25,a音読み,A,怨念,おんねん,積年の怨念を晴らす。,怨念,おんねん,X,X
26,a音読み,A,巽言,そんげん,巽言の重みに感服する。,巽言,そんげん,X,X
27,a音読み,A,烏有,うゆう,火事のため烏有に帰してしまった。,烏有,うゆう,X,X
28,a音読み,A,牝牡,ひんぼ,生まれた子馬の牝牡を確かめる。,牝牡,ひんぼ,X,X
29,a音読み,A,謬言,びゅうげん,謬言を恥じて口をつぐむ。,謬言,びゅうげん,X,X
30,a音読み,A,俗諺,ぞくげん,地域の俗諺を調べる。,俗諺,ぞくげん,X,X
31,a音読み,A,雛僧,すうそう,案内役の雛僧。,雛僧,すうそう,X,X
32,a音読み,A,孜孜,しし,孜孜として学問に励む。,孜孜,しし,X,X
33,a音読み,A,慧眼,けいがん,時代を見抜く慧眼で危機を乗り切る。,慧眼,けいがん,X,X
34,a音読み,A,櫛比,しっぴ,この辺りは建物が櫛比している。,櫛比,しっぴ,X,X
35,a音読み,A,稗史,はいし,土地の稗史に興味がある。,稗史,はいし,X,X
36,a音読み,A,膝下,しっか,未だ父母の膝下に留まる。,膝下,しっか,X,X
37,a音読み,A,紐帯,ちゅうたい,同盟の紐帯となる条約を結ぶ。,紐帯,ちゅうたい,X,X
38,a音読み,A,禰宜,ねぎ,禰宜は神主の下に位する。,禰宜,ねぎ,X,X
39,a音読み,A,弥縫,びほう,仕事での失敗を弥縫する。,弥縫,びほう,X,X
40,a音読み,A,廠舎,しょうしゃ,演習用に廠舎が仮設される。,廠舎,しょうしゃ,X,X
41,a音読み,A,祁寒,きかん,祁寒でも子供たちは元気だ。,祁寒,きかん,X,X
42,a音読み,A,郁郁,いくいく,郁郁たる梅花に時を忘れる。,郁郁,いくいく,X,X
43,a音読み,A,翠嵐,すいらん,翠嵐のなかを歩く。,翠嵐,すいらん,X,X
44,a音読み,A,穆穆,ぼくぼく,穆穆たる天子に仕える。,穆穆,ぼくぼく,X,X
45,a音読み,A,熊胆,ゆうたん,熊胆は胃薬などとして珍重される。,熊胆,ゆうたん,X,X
46,a音読み,A,爾汝,じじょ,彼とは爾汝の間柄だ。,爾汝,じじょ,X,X
47,a音読み,A,頸椎,けいつい,サッカーで頸椎を損傷する。,頸椎,けいつい,X,X
48,a音読み,A,暴戻,ぼうれい,暴戻な領主に抗議する。,暴戻,ぼうれい,X,X
49,a音読み,A,罫紙,けいし,花の描かれた罫紙を購入する。,罫紙,けいし,X,X
50,a音読み,A,蔚蔚,うつうつ,蔚蔚たる原始林が広がる。,蔚蔚,うつうつ,X,X
51,a音読み,A,抹消,まっしょう,抹消にとらわれて本質を忘れる。,抹消,まっしょう,X,X
52,a音読み,A,碩学,せきがく,宇宙工学の碩学として有名だ。,碩学,せきがく,X,X
53,a音読み,A,払拭,ふっしょく,政治家の疑惑が払拭できない。,払拭,ふっしょく,X,X
54,a音読み,A,晦渋,かいじゅう,晦渋な文章を読み下す。,晦渋,かいじゅう,X,X
55,a音読み,A,夙夜,しゅくや,夙夜、仕事に勤しむ。,夙夜,しゅくや,X,X
56,a音読み,A,翠黛,すいたい,翠黛の山に絵筆をとる。,翠黛,すいたい,X,X
57,a音読み,A,馴化,じゅんか,植物が土地に馴化していく。,馴化,じゅんか,X,X
58,a音読み,A,造詣,ぞうけい,文化人類学に造詣が深い。,造詣,ぞうけい,X,X
59,a音読み,A,補綴,ほてい,古句を補綴し詩文を作る。,補綴,ほてい,X,X
60,a音読み,A,枕頭,ちんとう,父の枕頭にはいつも本がある。,枕頭,ちんとう,X,X
61,a音読み,A,厨子,ずし,堂内の厨子に秘仏を安置する。,厨子,ずし,X,X
62,a音読み,A,無碍,むげ,融通無碍の境地に達する。,無碍,むげ,X,X
63,a音読み,A,亥月,がいげつ,亥月を迎えて紅葉が見頃だ。,亥月,がいげつ,X,X
64,a音読み,A,艶冶,えんや,舞台で艶冶な舞いを披露する。,艶冶,えんや,X,X
65,a音読み,A,蓑笠,さりゅう,吹雪の中、蓑笠の翁に出会った。,蓑笠,さりゅう,X,X
66,a音読み,A,亀卜,きぼく,古代中国では亀卜で占った。,亀卜,きぼく,X,X
67,a音読み,A,痩?,そうく,長身痩?でモデルのようだ。,痩?,そうく,X,X
68,a音読み,A,徽章,きしょう,徽章を胸につける。,徽章,きしょう,X,X
69,a音読み,A,?脱,せんだつ,?脱の境地に達する。,?脱,せんだつ,X,X
70,a音読み,A,犀利,さいり,犀利な筆致でぐいぐい読ませる。,犀利,さいり,X,X
71,a音読み,A,?職,とくしょく,助役が?職で捕まった。,?職,とくしょく,X,X
72,a音読み,A,捺印,なついん,互いに署名捺印する。,捺印,なついん,X,X
73,a音読み,A,桐油,とうゆ,番傘には桐油を使う。,桐油,とうゆ,X,X
74,a音読み,A,挽歌,ばんか,死を悼み挽歌を送る。,挽歌,ばんか,X,X
75,a音読み,A,爪牙,そうが,猛獣が爪牙を向けて獲物に迫る。,爪牙,そうが,X,X
